iter	RMSE
0	3009.747494
1	2982.974907
2	2959.167734
3	2937.580348
4	2921.402506
5	2905.729433
6	2893.238979
7	2881.119843
8	2870.191927
9	2861.686274
10	2854.321056
11	2847.337586
12	2841.504747
13	2836.512907
14	2832.42851
15	2828.526696
16	2825.905979
17	2822.890377
18	2819.860448
19	2817.425373
20	2815.512018
21	2813.782894
22	2812.036844
23	2810.375471
24	2809.059986
25	2807.645693
26	2806.594659
27	2805.766133
28	2804.814688
29	2804.056852
30	2803.216665
31	2802.586637
32	2801.761426
33	2801.189799
34	2800.697932
35	2800.100189
36	2799.430089
37	2798.503645
38	2798.120891
39	2797.710563
40	2797.086052
41	2796.677902
42	2796.275683
43	2795.748273
44	2795.017036
45	2794.542702
46	2794.099342
47	2793.638196
48	2793.27353
49	2793.117267
50	2792.296625
51	2792.018288
52	2791.729793
53	2791.367083
54	2790.998958
55	2790.549178
56	2789.89195
57	2789.189873
58	2788.916537
59	2788.689803
60	2788.314569
61	2787.950018
62	2787.565313
63	2787.333966
64	2787.012501
65	2786.661797
66	2786.21854
67	2785.743679
68	2785.622054
69	2785.445034
70	2785.133872
71	2784.702917
72	2784.156249
73	2783.775764
74	2783.316388
75	2782.77723
76	2782.289571
77	2782.160963
78	2781.509633
79	2781.242976
80	2780.774833
81	2780.561412
82	2780.155359
83	2779.742891
84	2779.225471
85	2778.902828
86	2778.554364
87	2778.295154
88	2777.938232
89	2777.650704
90	2777.571716
91	2777.297135
92	2777.077089
93	2776.937085
94	2776.710311
95	2776.205891
96	2775.770621
97	2775.592634
98	2775.207299
99	2775.079365
