iter	Passed	Remaining
0	8	840
1	15	780
2	22	739
3	29	707
4	37	711
5	44	702
6	54	720
7	61	710
8	71	719
9	83	752
10	91	744
11	101	744
12	109	730
13	119	731
14	125	713
15	134	708
16	142	693
17	150	686
18	157	672
19	166	664
20	173	651
21	180	641
22	186	625
23	194	614
24	203	609
25	210	600
26	217	587
27	223	575
28	231	565
29	237	553
30	245	546
31	252	535
32	259	527
33	266	517
34	273	507
35	280	499
36	286	488
37	294	481
38	301	471
39	309	464
40	317	456
41	325	449
42	332	440
43	339	432
44	347	424
45	354	415
46	361	407
47	367	398
48	374	390
49	380	380
50	386	371
51	393	362
52	399	354
53	406	346
54	412	337
55	418	328
56	424	320
57	431	312
58	439	305
59	445	297
60	452	289
61	458	281
62	468	274
63	474	267
64	480	258
65	488	251
66	494	243
67	502	236
68	508	228
69	515	221
70	522	213
71	528	205
72	536	198
73	542	190
74	549	183
75	555	175
76	562	167
77	569	160
78	574	152
79	581	145
80	587	137
81	593	130
82	600	122
83	607	115
84	614	108
85	620	101
86	627	93
87	634	86
88	641	79
89	647	71
90	654	64
91	660	57
92	666	50
93	671	42
94	677	35
95	683	28
96	689	21
97	696	14
98	702	7
99	709	0
