iter	RMSE
0	2989.972821
1	2963.212948
2	2938.792217
3	2917.088355
4	2901.632718
5	2885.940947
6	2873.065553
7	2860.947931
8	2849.988041
9	2841.679157
10	2834.054839
11	2826.690277
12	2821.181343
13	2816.906484
14	2813.334679
15	2809.363112
16	2805.97905
17	2802.758437
18	2799.745947
19	2796.964656
20	2794.694953
21	2792.740088
22	2790.867283
23	2789.292185
24	2787.817193
25	2786.619465
26	2785.124485
27	2784.230578
28	2783.331511
29	2782.474034
30	2781.597968
31	2780.801743
32	2779.909563
33	2778.932131
34	2778.42758
35	2776.975177
36	2776.428927
37	2776.086801
38	2775.819781
39	2774.787126
40	2774.031691
41	2773.449233
42	2772.666635
43	2772.22117
44	2771.389479
45	2771.224099
46	2770.864009
47	2770.509924
48	2770.149128
49	2769.638028
50	2769.118068
51	2768.465371
52	2767.962244
53	2767.723235
54	2767.209793
55	2766.994272
56	2766.445091
57	2766.093806
58	2765.663494
59	2764.958774
60	2764.4661
61	2763.94413
62	2763.571709
63	2763.244817
64	2762.715771
65	2762.152117
66	2761.969762
67	2761.596754
68	2761.151693
69	2760.586257
70	2760.198571
71	2760.05873
72	2759.722586
73	2759.35094
74	2759.05185
75	2758.309641
76	2758.033209
77	2757.392939
78	2757.177905
79	2756.835197
80	2756.025925
81	2755.734108
82	2755.289484
83	2754.925176
84	2754.321108
85	2753.909471
86	2753.5969
87	2753.024137
88	2752.369899
89	2751.997844
90	2751.740677
91	2751.663317
92	2750.954656
93	2750.433424
94	2749.770928
95	2749.053051
96	2748.777337
97	2748.458877
98	2747.899769
99	2747.446786
