iter	Passed	Remaining
0	123	12271
1	127	6262
2	131	4262
3	136	3269
4	139	2658
5	143	2251
6	147	1959
7	151	1737
8	154	1558
9	157	1413
10	160	1296
11	163	1197
12	166	1117
13	170	1044
14	172	978
15	175	923
16	179	874
17	183	836
18	187	800
19	191	767
20	196	739
21	200	711
22	205	689
23	210	665
24	213	641
25	217	617
26	220	595
27	223	574
28	226	554
29	230	537
30	233	519
31	236	503
32	239	487
33	242	471
34	246	458
35	250	445
36	253	431
37	256	418
38	259	405
39	263	394
40	266	383
41	269	372
42	272	361
43	276	351
44	280	343
45	284	333
46	288	325
47	292	317
48	297	309
49	301	301
50	308	296
51	312	288
52	317	281
53	321	273
54	327	267
55	331	260
56	335	252
57	339	245
58	343	238
59	346	231
60	350	224
61	354	217
62	358	210
63	361	203
64	364	196
65	367	189
66	371	182
67	375	176
68	378	170
69	382	163
70	385	157
71	389	151
72	395	146
73	398	140
74	401	133
75	405	128
76	409	122
77	412	116
78	415	110
79	419	104
80	423	99
81	427	93
82	430	88
83	433	82
84	438	77
85	441	71
86	445	66
87	448	61
88	453	56
89	457	50
90	460	45
91	467	40
92	471	35
93	474	30
94	478	25
95	481	20
96	486	15
97	490	10
98	494	4
99	498	0
