feature,mean_abs_shap
numeric__los_days,0.2706011919686151
numeric__haemoglobin,0.16138716113599777
numeric__charlson_index,0.16006169619264846
numeric__disease_severity_score,0.1366459922085011
categorical__ward_type_General,0.11487570125528761
numeric__patient_complexity_index,0.10437352570077532
categorical__ward_type_ICU,0.08733169284537856
numeric__previous_admissions,0.07510069038540083
categorical__admit_type_Emergency,0.05430269701184462
numeric__num_procedures,0.05326268970051316
categorical__ward_type_HDU,0.05323344864274801
categorical__admit_type_Elective,0.043244028095175246
categorical__season_Summer,0.029430471504735187
categorical__admit_type_OPD,0.0277852137576718
numeric__systolic_bp,0.025248757784080464
numeric__lab_abnormality_score,0.024315303298400384
numeric__readmission_history,0.024184081989304496
categorical__ward_type_NICU,0.021234681409601275
numeric__creatinine,0.01555453062678221
categorical__season_Winter,0.014941390192434607
categorical__season_Autumn,0.01389456500923859
categorical__season_Spring,0.012989768662802693
numeric__hba1c,0.0006814073268531746
