feature,mean_abs_shap
numeric__los_days,796.6628246356963
numeric__medicine_count,285.44540028412445
numeric__num_procedures,163.25621754518335
numeric__patient_complexity_index,44.41898747078241
numeric__charlson_index,25.79542418051093
numeric__disease_severity_score,21.406579151592698
numeric__creatinine,15.806967981245222
numeric__previous_admissions,13.7672822521317
numeric__haemoglobin,13.371645235258045
numeric__hba1c,11.3915566020751
numeric__systolic_bp,8.888321007857918
categorical__ward_type_General,7.255350029966823
numeric__lab_abnormality_score,7.23597601723194
categorical__ward_type_NICU,7.123442617385392
categorical__ward_type_ICU,6.357489726975559
categorical__season_Winter,5.98732302983284
categorical__admit_type_Emergency,5.834650231416228
categorical__ward_type_HDU,4.56957395123482
categorical__admit_type_OPD,4.191548283405302
categorical__season_Spring,3.715940340433118
categorical__season_Autumn,2.4844096805715563
categorical__admit_type_Elective,1.827581063380242
categorical__season_Summer,1.5207247558069212
